employee_id,department,designation_level,location,hire_date,employment_status,monthly_salary_bdt,engagement_score,performance_score,absence_rate,monthly_overtime_hours,training_hours_last_12m,critical_role,people_risk_score,risk_band
NCS-0207,Customer Support,Executive,Dhaka,2025-05-09,Active,77000,75.1,81.6,0.0728,28.4,11.2,Yes,15.2,Low
NCS-0208,Technology,Entry,Gazipur,2023-10-05,Active,73000,78.3,88.7,0.1032,19.1,21.5,No,13.6,Low
NCS-0209,Technology,Executive,Narayanganj,2024-05-04,Active,73500,53.3,66.9,0.0995,14.9,6.4,Yes,22.2,Medium
NCS-0210,Sales,Entry,Gazipur,2023-08-20,Active,47000,76.3,79.1,0.1119,19.6,5.4,No,14.6,Low
NCS-0211,Marketing,Executive,Dhaka,2025-11-30,Active,35000,73.0,83.6,0.135,20.3,15.3,No,16.5,Low
NCS-0212,Finance,Senior Executive,Narayanganj,2025-11-23,Active,55500,64.3,87.7,0.0442,28.7,32.7,No,18.2,Low
NCS-0213,Human Resources,Assistant Manager,Dhaka,2023-12-21,Active,33000,78.3,73.6,0.103,34.5,30.5,Yes,15.9,Low
NCS-0214,Customer Support,Entry,Remote,2024-06-01,Active,59000,55.3,73.3,0.0117,10.8,19.7,No,17.6,Low
NCS-0215,Marketing,Senior Executive,Dhaka,2024-03-06,Active,40000,86.1,69.3,0.01,28.7,17.0,No,9.6,Low
NCS-0216,Finance,Entry,Gazipur,2024-07-01,Active,45000,74.0,85.9,0.1245,19.2,24.8,No,15.7,Low
NCS-0217,Operations,Assistant Manager,Gazipur,2024-08-14,Active,75500,71.7,65.8,0.0446,3.9,9.9,No,12.7,Low
NCS-0218,Operations,Entry,Dhaka,2025-11-23,Active,25500,73.4,85.2,0.1124,7.6,23.8,Yes,13.8,Low
NCS-0219,Technology,Assistant Manager,Gazipur,2024-08-26,Active,38000,71.1,58.0,0.1289,27.5,14.1,No,20.5,Low
NCS-0220,Operations,Assistant Manager,Narayanganj,2023-10-05,Active,75000,65.3,57.5,0.0676,18.2,22.2,No,19.4,Low
NCS-0221,Technology,Executive,Remote,2026-02-18,Active,61500,53.8,63.2,0.0788,20.4,19.4,No,23.0,Medium
NCS-0222,Supply Chain,Senior Executive,Gazipur,2025-09-30,Active,47500,79.8,71.8,0.028,14.8,19.5,No,10.1,Low
NCS-0223,Human Resources,Senior Executive,Gazipur,2024-08-04,Active,64500,62.2,82.7,0.0143,32.9,20.3,Yes,18.6,Low
NCS-0224,Human Resources,Assistant Manager,Gazipur,2024-06-29,Active,75500,67.1,79.8,0.0904,21.6,28.6,Yes,17.4,Low
NCS-0225,Sales,Senior Executive,Narayanganj,2024-12-05,Active,68000,76.7,74.1,0.0306,8.7,21.7,Yes,10.4,Low
NCS-0226,Operations,Executive,Gazipur,2025-03-14,Active,80500,85.9,78.5,0.0615,24.3,15.5,No,10.4,Low
NCS-0227,Customer Support,Executive,Remote,2024-01-10,Active,38000,57.8,63.8,0.0661,4.8,13.4,Yes,18.7,Low
NCS-0228,Supply Chain,Entry,Dhaka,2024-11-22,Active,28500,74.6,84.4,0.0386,15.0,13.8,No,12.3,Low
NCS-0229,Sales,Senior Executive,Gazipur,2024-08-02,Active,31000,69.1,94.6,0.0239,14.5,24.1,Yes,13.7,Low
NCS-0230,Supply Chain,Entry,Remote,2025-10-03,Active,63000,72.4,79.8,0.12,48.2,19.3,Yes,20.5,Low
NCS-0231,Finance,Entry,Narayanganj,2023-05-03,Active,59500,76.4,73.4,0.0476,15.3,13.6,No,12.0,Low
NCS-0232,Supply Chain,Senior Executive,Gazipur,2026-02-22,Active,60000,60.7,74.3,0.0484,21.1,29.7,Yes,18.4,Low
NCS-0233,Supply Chain,Executive,Dhaka,2026-01-01,Active,49000,48.4,86.8,0.0807,27.4,30.2,No,24.6,Medium
NCS-0234,Operations,Entry,Narayanganj,2024-03-01,Active,62500,59.5,87.1,0.0835,14.3,16.1,No,18.8,Low
NCS-0235,Supply Chain,Assistant Manager,Dhaka,2025-05-07,Active,55500,82.8,77.2,0.0958,27.2,25.9,No,13.0,Low
NCS-0236,Supply Chain,Senior Executive,Narayanganj,2023-04-11,Active,75500,77.5,68.4,0.0638,17.2,27.6,Yes,12.7,Low
NCS-0237,Customer Support,Senior Executive,Gazipur,2023-07-04,Active,60000,74.7,72.1,0.0959,8.5,25.3,No,13.0,Low
NCS-0238,Operations,Assistant Manager,Remote,2024-03-02,Active,24000,75.4,79.0,0.0933,2.3,15.7,No,11.8,Low
NCS-0239,Supply Chain,Senior Executive,Narayanganj,2024-07-25,Active,50500,65.7,83.1,0.1364,19.5,14.9,Yes,19.0,Low
NCS-0240,Human Resources,Entry,Remote,2023-08-26,Active,30500,86.5,80.9,0.1297,18.4,6.7,Yes,11.4,Low
NCS-0241,Marketing,Executive,Gazipur,2025-09-10,Active,73000,64.7,79.5,0.0472,13.3,10.9,No,15.8,Low
NCS-0242,Sales,Assistant Manager,Gazipur,2025-04-16,Active,43000,58.7,63.3,0.0869,12.0,15.0,No,20.2,Low
NCS-0243,Customer Support,Executive,Gazipur,2023-05-26,Active,50000,76.1,77.7,0.0778,24.4,10.0,No,14.4,Low
NCS-0244,Supply Chain,Entry,Dhaka,2025-07-31,Active,83000,60.0,81.1,0.1229,16.0,21.8,Yes,20.1,Low
NCS-0245,Technology,Entry,Remote,2025-07-03,Active,34000,56.7,43.8,0.129,26.1,31.1,No,28.2,Medium
NCS-0246,Finance,Executive,Dhaka,2024-11-09,Active,59000,78.4,87.8,0.059,37.7,28.7,No,15.0,Low
NCS-0247,Finance,Entry,Dhaka,2026-03-19,Active,46500,58.8,88.5,0.0782,17.1,14.4,Yes,19.3,Low
NCS-0248,Human Resources,Senior Executive,Dhaka,2025-06-13,Active,27500,89.3,95,0.1181,22.2,21.0,Yes,10.6,Low
NCS-0249,Finance,Executive,Narayanganj,2023-07-24,Active,64000,61.5,71.9,0.0514,19.5,18.8,No,18.0,Low
NCS-0250,Operations,Entry,Gazipur,2025-11-24,Active,77500,68.3,75.6,0.1205,28.5,16.5,Yes,19.0,Low
NCS-0251,Human Resources,Senior Executive,Remote,2023-11-19,Active,84000,65.9,66.0,0.1367,13.5,16.1,No,18.9,Low
NCS-0252,Supply Chain,Senior Executive,Remote,2023-11-01,Active,83000,80.8,72.8,0.06,12.0,42.3,Yes,10.3,Low
NCS-0253,Marketing,Executive,Narayanganj,2025-08-17,Active,67000,79.4,55.6,0.0953,12.4,19.4,No,14.8,Low
NCS-0254,Sales,Assistant Manager,Remote,2026-03-06,Active,24000,74.4,91.9,0.0903,17.9,17.0,No,14.4,Low
NCS-0255,Human Resources,Executive,Remote,2024-07-08,Active,31500,69.4,69.7,0.1127,13.0,25.2,No,16.1,Low
NCS-0256,Operations,Executive,Remote,2025-11-18,Active,35500,77.3,80.6,0.037,29.1,21.4,Yes,13.4,Low
NCS-0257,Supply Chain,Assistant Manager,Gazipur,2024-11-09,Active,53500,63.3,71.5,0.0644,9.1,18.3,No,16.1,Low
NCS-0258,Finance,Executive,Gazipur,2024-07-15,Active,27500,50.3,85.5,0.0436,23.5,29.6,No,22.2,Medium
NCS-0259,Customer Support,Executive,Remote,2026-04-08,Active,30000,42.7,61.0,0.1242,11.1,24.2,Yes,27.3,Medium
NCS-0260,Technology,Senior Executive,Narayanganj,2023-12-12,Active,39000,53.3,83.8,0.01,37.5,8.5,No,22.3,Medium
NCS-0261,Marketing,Executive,Narayanganj,2024-12-20,Active,67000,57.0,75.9,0.0375,9.6,27.7,No,17.6,Low
NCS-0262,Human Resources,Entry,Gazipur,2025-02-05,Active,45500,87.9,69.8,0.0359,12.0,13.2,No,7.1,Low
NCS-0263,Technology,Entry,Remote,2024-05-20,Active,38500,48.4,80.7,0.0879,4.2,25.0,Yes,21.3,Low
NCS-0264,Operations,Senior Executive,Narayanganj,2023-11-16,Active,24500,70.8,62.1,0.0641,20.1,14.0,No,16.7,Low
NCS-0265,Technology,Entry,Remote,2025-09-05,Active,66500,56.5,65.9,0.1054,14.0,21.1,Yes,21.3,Low
NCS-0266,Supply Chain,Entry,Remote,2024-12-13,Active,39500,72.6,73.3,0.0432,23.1,26.3,No,14.4,Low
NCS-0267,Operations,Entry,Dhaka,2023-09-26,Active,50500,57.5,69.0,0.0689,6.7,23.2,No,18.2,Low
NCS-0268,Customer Support,Senior Executive,Remote,2025-04-19,Active,50000,69.8,85.6,0.0447,25.9,26.2,No,15.8,Low
NCS-0269,Operations,Executive,Gazipur,2023-02-03,Active,39500,68.3,52.8,0.0615,18.7,26.9,Yes,19.2,Low
NCS-0270,Customer Support,Entry,Narayanganj,2025-02-08,Active,35000,65.2,68.2,0.0821,18.6,12.8,Yes,17.8,Low
NCS-0271,Customer Support,Senior Executive,Remote,2024-10-25,Active,77500,71.0,67.5,0.0876,11.3,30.7,No,15.0,Low
NCS-0272,Marketing,Executive,Remote,2025-12-26,Active,64000,70.5,94.7,0.0457,12.5,22.3,No,13.6,Low
NCS-0273,Operations,Entry,Narayanganj,2025-03-24,Active,71500,72.6,69.6,0.0377,22.4,35.4,Yes,14.2,Low
NCS-0274,Sales,Assistant Manager,Gazipur,2023-07-07,Active,38500,78.4,55.7,0.0398,20.8,24.8,No,14.8,Low
NCS-0275,Finance,Senior Executive,Remote,2023-10-11,Active,31000,73.7,74.5,0.062,16.8,0,Yes,13.6,Low
NCS-0276,Technology,Entry,Dhaka,2026-04-14,Active,25500,65.2,70.9,0.106,20.3,7.5,No,18.4,Low
NCS-0277,Customer Support,Senior Executive,Gazipur,2023-02-06,Active,84500,80.4,71.6,0.1054,17.1,23.2,No,12.6,Low
NCS-0278,Customer Support,Senior Executive,Remote,2024-02-24,Active,76000,81.8,71.9,0.1399,18.2,20.1,Yes,13.3,Low
NCS-0279,Human Resources,Assistant Manager,Remote,2023-02-21,Active,49500,75.0,83.8,0.1393,31.6,19.0,No,17.7,Low
NCS-0280,Technology,Assistant Manager,Dhaka,2025-02-17,Active,76500,69.8,79.6,0.0819,18.6,8.0,No,15.8,Low
