learning_record_id,employee_id,department,program,hours,completion_status,pre_assessment_score,post_assessment_score,behavior_application_score
LND-0371,NCS-0120,Marketing,HR Compliance,8,Yes,56,75,58
LND-0372,NCS-0154,Finance,Structured Interviewing,8,Yes,59,68,74
LND-0373,NCS-0188,Finance,KPI and Feedback,6,Yes,72,88,80
LND-0374,NCS-0102,Sales,HR Compliance,8,Yes,72,92,70
LND-0375,NCS-0032,Human Resources,KPI and Feedback,2,Yes,66,79,90
LND-0376,NCS-0274,Sales,KPI and Feedback,4,Yes,57,70,64
LND-0377,NCS-0015,Supply Chain,KPI and Feedback,4,Yes,52,64,92
LND-0378,NCS-0035,Technology,AI for HR,2,Yes,66,90,61
LND-0379,NCS-0218,Technology,HR Compliance,8,No,45,64,60
LND-0380,NCS-0227,Finance,Manager Essentials,2,Yes,71,94,74
LND-0381,NCS-0180,Marketing,KPI and Feedback,12,Yes,65,89,77
LND-0382,NCS-0216,Sales,HR Compliance,12,Yes,59,81,86
LND-0383,NCS-0065,Marketing,Structured Interviewing,8,Yes,65,73,61
LND-0384,NCS-0184,Finance,KPI and Feedback,12,Yes,59,68,71
LND-0385,NCS-0249,Finance,KPI and Feedback,4,No,73,89,73
LND-0386,NCS-0181,Operations,AI for HR,4,Yes,68,85,82
LND-0387,NCS-0098,Human Resources,Structured Interviewing,4,Yes,47,58,62
LND-0388,NCS-0214,Finance,Structured Interviewing,8,Yes,60,69,68
LND-0389,NCS-0279,Human Resources,KPI and Feedback,2,Yes,57,73,55
LND-0390,NCS-0151,Customer Support,Manager Essentials,12,Yes,48,72,58
LND-0391,NCS-0083,Operations,Structured Interviewing,6,Yes,65,78,79
LND-0392,NCS-0247,Supply Chain,AI for HR,6,Yes,69,89,70
LND-0393,NCS-0133,Human Resources,Manager Essentials,2,No,45,67,88
LND-0394,NCS-0200,Finance,Manager Essentials,8,No,64,88,74
LND-0395,NCS-0237,Sales,Manager Essentials,4,No,60,80,59
LND-0396,NCS-0191,Human Resources,Manager Essentials,8,Yes,68,92,78
LND-0397,NCS-0189,Marketing,HR Compliance,6,No,73,81,89
LND-0398,NCS-0149,Marketing,HR Compliance,8,Yes,49,67,61
LND-0399,NCS-0070,Marketing,Manager Essentials,8,Yes,62,76,78
LND-0400,NCS-0180,Human Resources,KPI and Feedback,12,Yes,47,62,67
